"Table 2.2: Crop production by Region, 2008",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic,Western,Central,Greater Accra,Volta,Eastern,Ashanti,Brong Ahafo,Northern,Upper East,Upper West,,,,,,,,,,
No.,Crops,Topic, Western , Central , Greater Accra , Volta , Eastern , Ashanti , Brong Ahafo , Northern , Upper East , Upper West ,,,,,,,,,,
1,Maize,Area planted (Ha),"53,461.0","104,984.0","3,719.0","48,243.0","176,825.0","154,613.0","244,922.0","139,214.0","45,732.0","70,370.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"82,825.0","192,069.0","4,681.0","84,922.0","405,377.0","205,419.0","570,350.0","209,353.0","65,811.0","129,090.0",,,,,,,,,,
4,,Yield (Mt/Ha),2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,
1,Millet,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"55,405.0","56,007.0","61,058.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"80,486.0","51,310.0","47,888.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,1.0,1.0,1.0,,,,,,,,,,
1,Rice (Paddy),Area planted (Ha),"19,809.0","1,731.0","2,917.0","25,305.0","7,306.0","10,268.0","3,902.0","69,253.0","44,059.0","4,978.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"25,464.0","3,221.0","18,822.0","82,546.0","24,567.0","27,748.0","6,268.0","165,328.0","120,171.0","7,000.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,6.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,,,,,,,,,,
1,Sorghum,Area planted (Ha),                       -   ,                         -   ,                    -   ,"4,487.0",                         -   ,                         -   ,652.0,"71,281.0","54,169.0","100,252.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"5,385.0",                         -   ,                         -   ,843.0,"126,429.0","58,617.0","88,709.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cassava,Area planted (Ha),"  79,392.0 ","  112,377.0 ","  6,406.0 ","  84,924.0 ","  186,291.0 ","  125,516.0 ","  183,438.0 ","  90,207.0 ",                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"  717,474.0 ","  1,764,241.0 ","  73,884.0 ","  1,276,089.0 ","  4,164,013.0 ","  2,231,908.0 ","  2,949,838.0 ","  1,369,831.0 ",                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),  9.0 ,  16.0 ,  12.0 ,  15.0 ,  22.0 ,  18.0 ,  16.0 ,  15.0 ,                   -   ,                   -   ,,,,,,,,,,
1,Cocoyam,Area planted (Ha),"39,662.0","11,866.0",                    -   ,"6,439.0","28,415.0","60,111.0","49,835.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"231,469.0","48,879.0",                    -   ,"51,748.0","244,149.0","355,138.0","338,882.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),6.0,4.0,                    -   ,8.0,9.0,6.0,7.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Plantain,Area planted (Ha),"58,729.0","18,130.0",                    -   ,"9,378.0","85,377.0","97,646.0","68,033.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"534,073.0","154,596.0",                    -   ,"75,581.0","840,702.0","990,378.0","961,194.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),9.0,9.0,                    -   ,8.0,10.0,10.0,14.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Yam,Area planted (Ha),"11,722.0","2,970.0",                    -   ,"30,466.0","40,092.0","33,303.0","134,708.0","144,357.0",                   -   ,"28,725.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"93,861.0","16,664.0",                    -   ,"463,559.0","709,722.0","476,172.0","2,319,583.0","2,038,196.0",                   -   ,"521,112.0",,,,,,,,,,
4,,Yield (Mt/Ha),8.0,6.0,                    -   ,15.0,18.0,14.0,17.0,14.0,                   -   ,18.0,,,,,,,,,,
1,Soya Bean,Area planted (Ha),                       -   ,                         -   ,                    -   ,"3,578.0",                         -   ,                         -   ,                         -   ,"58,056.0","10,645.0","12,921.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"4,098.0",                         -   ,                         -   ,                         -   ,"120,534.0","11,876.0","15,202.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,                         -   ,2.0,1.0,1.0,,,,,,,,,,
1,Groundnut,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,"10,309.0","6,021.0","11,914.0","131,936.0","63,703.0","121,303.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,"14,236.0","8,302.0","14,325.0","229,178.0","65,611.0","143,405.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cowpea,Area planted (Ha),                       -   ,                         -   ,                    -   ,"2,744.0","2,060.0","8,460.0","7,583.0","60,378.0","23,055.0","64,525.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"3,969.0","2,430.8","2,961.0","7,563.0","118,855.0","18,918.0","71,003.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,1.0,0.0,1.0,2.0,1.0,1.0,,,,,,,,,,
"Table 2.7: Crop production by Region, 2013",,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic, Western , Central , Greater Accra , Volta , Eastern , Ashanti , Brong Ahafo , Northern , Upper East , Upper West ,,,,,,,,,,
1,Maize,Area planted (Ha),"53,386.0","106,054.0","3,671.0","48,965.0","176,268.0","155,480.0","247,727.0","119,571.0","45,214.0","67,123.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"82,430.0","168,120.0","4,512.0","84,262.0","399,959.0","201,786.0","466,208.0","170,512.0","64,434.0","122,254.0",,,,,,,,,,
4,,Yield (Mt/Ha),2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,
1,Millet,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"48,095.0","53,074.0","59,568.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"68,877.0","42,623.0","43,631.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,1.0,1.0,1.0,,,,,,,,,,
1,Rice (Paddy),Area planted (Ha),"22,500.0","1,630.0","3,057.0","40,200.0","8,900.0","13,300.0","4,128.0","75,000.0","42,088.0","5,102.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"28,604.0","2,648.0","19,808.0","160,467.0","29,939.0","38,399.0","6,713.0","162,297.0","113,523.0","7,127.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,6.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,,,,,,,,,,
1,Sorghum,Area planted (Ha),                       -   ,                         -   ,                    -   ,"4,473.0",                         -   ,                         -   ,669.0,"65,797.0","55,081.0","99,799.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"4,911.0",                         -   ,                         -   ,871.0,"110,042.0","54,113.0","86,800.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cassava,Area planted (Ha),"79,721.0","115,021.0","6,725.0","83,531.0","187,659.0","126,466.0","187,420.0","88,642.0",                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"912,716.0","1,777,407.0","101,125.0","1,289,462.0","4,343,580.0","2,467,576.0","3,635,461.0","1,462,614.0",                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),11.0,15.0,15.0,15.0,23.0,20.0,19.0,17.0,                   -   ,                   -   ,,,,,,,,,,
1,Cocoyam,Area planted (Ha),"39,696.0","9,331.0",                    -   ,"6,734.0","28,261.0","59,445.0","50,531.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"235,093.0","42,716.0",                    -   ,"54,431.0","241,714.0","342,908.0","344,612.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),6.0,5.0,                    -   ,8.0,9.0,6.0,7.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Plantain,Area planted (Ha),"58,759.0","18,086.0",                    -   ,"9,117.0","85,462.0","99,261.0","69,221.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"531,242.0","149,550.0",                    -   ,"72,640.0","843,800.0","1,097,821.0","980,241.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),9.0,8.0,                    -   ,8.0,10.0,11.0,14.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Yam,Area planted (Ha),11665.0,2700.0,                    -   ,29632.0,40149.0,33524.0,136410.0,138328.0,                   -   ,29175.0,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,92990.0,14441.0,                    -   ,452406.0,763400.0,503245.0,2351017.0,2379140.0,                   -   ,517935.0,,,,,,,,,,
4,,Yield (Mt/Ha),8.0,5.0,                    -   ,15.0,19.0,15.0,17.0,17.0,                   -   ,18.0,,,,,,,,,,
1,Soya Bean,Area planted (Ha),                       -   ,                         -   ,                    -   ,"3,309.0",                         -   ,                         -   ,                         -   ,"52,150.0","16,698.0","12,617.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"3,610.0",                         -   ,                         -   ,                         -   ,"102,107.0","17,882.0","15,074.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,                         -   ,2.0,1.0,1.0,,,,,,,,,,
1,Groundnut,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,"10,482.0","6,329.0","13,168.0","116,879.0","63,411.0","118,671.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,"14,798.0","9,310.0","16,247.0","189,102.0","47,864.0","131,493.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cowpea,Area planted (Ha),                       -   ,                         -   ,                    -   ,"2,756.0","2,077.0","8,823.0","7,640.0","54,581.0","19,310.0","66,779.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"3,767.0","2,494.0","4,553.0","7,757.0","101,093.0","11,968.0","68,773.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 2.8: Crop production by Region, 2014",,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic, Western , Central , Greater Accra , Volta , Eastern , Ashanti , Brong Ahafo , Northern , Upper East , Upper West ,,,,,,,,,,
1,Maize,Area planted (Ha),"57,765.0","107,596.0","3,750.0","53,452.0","176,801.0","157,727.0","244,111.0","119,013.0","43,499.0","60,840.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"75,185.0","178,563.0","4,186.0","99,866.0","409,043.0","219,225.0","453,326.0","164,977.0","59,867.0","104,338.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,
1,Millet,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"48,860.0","51,366.0","62,120.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"67,007.0","41,833.0","46,478.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,1.0,1.0,1.0,,,,,,,,,,
1,Rice,Area planted (Ha),"25,914","1,645","3,219","42,873","9,572","11,449","4,448","77,961","41,788","5,587",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"33,080","2,846","21,528","188,952","33,205","34,614","7,435","164,979","109,394","8,008",,,,,,,,,,
4,,Yield (Mt/Ha),1,2,7,4,3,3,2,2,3,1,,,,,,,,,,
1,Sorghum,Area planted (Ha),                       -   ,                         -   ,                    -   ,"4,550.0",                         -   ,                         -   ,672.0,"65,901.0","52,676.0","103,120.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"5,961.0",                         -   ,                         -   ,893.0,"107,310.0","51,385.0","93,451.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cassava,Area planted (Ha),"86,164.0","117,296.0","6,824.0","85,672.0","187,681.0","129,585.0","188,975.0","86,416.0",                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"972,353.0","1,900,010.0","109,912.0","1,350,633.0","4,414,524.0","2,608,262.0","3,797,416.0","1,370,550.0",                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),11.0,16.0,16.0,16.0,24.0,20.0,20.0,16.0,                   -   ,                   -   ,,,,,,,,,,
1,Cocoyam,Area planted (Ha),"43,428","9,139",                    -   ,"8,024","28,379","60,489","50,943",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"245,073","42,307",                    -   ,"69,662","245,225","354,104","342,603",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),6,5,                    -   ,9,9,6,7,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Plantain,Area planted (Ha),"68,928.0","19,193.0",                    -   ,"9,306.0","85,498.0","101,355.0","72,308.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"634,186.0","162,015.0",                    -   ,"75,844.0","850,485.0","1,180,804.0","924,676.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),9.0,8.0,                    -   ,8.0,10.0,12.0,13.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Yam,Area planted (Ha),"12,480.0","2,760.0",                    -   ,"30,591.0","40,262.0","34,038.0","140,410.0","136,131.0",                   -   ,"31,340.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"94,927.0","14,769.0",                    -   ,"494,609.0","823,191.0","521,346.0","2,416,990.0","2,169,543.0",                   -   ,"583,515.0",,,,,,,,,,
4,,Yield (Mt/Ha),8.0,5.0,                    -   ,16.0,20.0,15.0,17.0,16.0,                   -   ,19.0,,,,,,,,,,
1,Soya Bean,Area planted (Ha),                       -   ,                         -   ,                    -   ,"3,385.0",                         -   ,                         -   ,                         -   ,"54,115.0","15,867.0","13,500.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,                         -   ,                         -   ,                         -   ,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"4,816.0",                         -   ,                         -   ,                         -   ,"101,779.0","16,737.0","18,137.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,                         -   ,2.0,1.0,1.0,,,,,,,,,,
1,Groundnut,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,"10,463.0","6,474.0","13,909.0","113,060.0","61,410.0","129,210.0",,,,,,,,,,
2,,Area harvested (Ha),                       -   ,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,"14,527.0","10,798.0","16,901.0","188,553.0","44,983.0","150,866.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cowpea,Area planted (Ha),                       -   ,                         -   ,                    -   ,"2,853.0","2,231.0","8,988.0","7,975.0","53,431.0","18,235.0","72,120.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"4,234.0","2,750.0","5,766.0","7,993.0","92,653.0","12,466.0","75,403.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
"Table 2.9: Crop production by Region, 2015",,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic, Western , Central , Greater Accra , Volta , Eastern , Ashanti , Brong Ahafo , Northern , Upper East , Upper West ,,,,,,,,,,
1,Maize,Area planted (Ha),"57,765.0","78,735.0","3,750.0","53,452.0","147,940.0","128,867.0","215,250.0","90,152.0","43,499.0","60,840.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"73,681.0","173,929.0","4,060.0","95,871.0","393,111.0","203,812.0","396,511.0","176,562.0","60,980.0","113,125.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,
1,Millet,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,48822.0,51331.0,62083.0,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,69017.0,41916.0,46436.0,,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,1.0,1.0,1.0,,,,,,,,,,
1,Rice (Paddy),Area planted (Ha),"27,677.0","1,645.0","3,219.0","44,635.0","9,572.0","13,212.0","4,448.0","79,724.0","43,551.0","5,587.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"33,741.0","2,561.0","22,389.0","203,419.0","33,869.0","31,153.0","7,064.0","177,946.0","121,075.0","8,275.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,7.0,5.0,4.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,,
1,Sorghum,Area planted (Ha),                       -   ,                         -   ,                    -   ,"4,550.0",                         -   ,                         -   ,672.0,"66,392.0","53,167.0","103,612.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"5,184.0",                         -   ,                         -   ,777.0,"94,684.0","46,629.0","81,127.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,1.0,1.0,1.0,1.0,,,,,,,,,,
1,Cassava,Area planted (Ha),"86,164.0","124,278.0","6,824.0","85,672.0","194,664.0","136,568.0","195,958.0","86,416.0",                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"994,030.0","2,017,950.0","104,410.0","1,429,148.0","4,642,614.0","2,764,206.0","3,810,939.0","1,449,459.0",                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),12.0,16.0,15.0,17.0,24.0,20.0,19.0,17.0,                   -   ,                   -   ,,,,,,,,,,
1,Cocoyam,Area planted (Ha),"43,457.0","9,139.0",                    -   ,"8,024.0","28,379.0","60,519.0","50,972.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"265,867.0","41,770.0",                    -   ,"68,960.0","241,505.0","347,124.0","335,962.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),6.0,5.0,                    -   ,9.0,9.0,6.0,7.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Plantain,Area planted (Ha),"69,931.0","20,196.0",                    -   ,"10,309.0","86,501.0","102,359.0","73,311.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"645,090.0","167,682.0",                    -   ,"77,025.0","884,505.0","1,216,476.0","961,660.0",                         -   ,                   -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),9.0,8.0,                    -   ,7.0,10.0,12.0,13.0,                         -   ,                   -   ,                   -   ,,,,,,,,,,
1,Yam,Area planted (Ha),,,                    -   ,,,,,,                   -   ,,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"97,775.0","15,065.0",                    -   ,"519,339.0","847,887.0","536,959.0","2,425,508.0","2,235,723.0",                   -   ,"617,867.0",,,,,,,,,,
4,,Yield (Mt/Ha),8.0,5.0,                    -   ,17.0,21.0,16.0,17.0,16.0,                   -   ,20.0,,,,,,,,,,
1,Soya Bean,Area planted (Ha),                       -   ,                         -   ,                    -   ,"3,238.0",                         -   ,                         -   ,                         -   ,"53,968.0","15,720.0","13,353.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"2,520.0",                         -   ,                         -   ,                         -   ,"106,700.0","15,670.0","17,470.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,                         -   ,2.0,1.0,1.0,,,,,,,,,,
1,Groundnut,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,"10,463.0","6,242.0","13,909.0","113,779.0","62,129.0","129,928.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,"13,080.0","7,840.0","13,520.0","188,080.0","40,500.0","154,179.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cowpea,Area planted (Ha),                       -   ,                         -   ,                    -   ,"2,088.0","1,465.0","8,105.0","7,210.0","53,431.0","18,235.0","72,120.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"3,617.0","2,157.0","4,877.0","7,296.0","95,450.0","12,240.0","77,680.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
"Table 2.10: Crop production by Region, 2016",,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic, Western , Central , Greater Accra , Volta , Eastern , Ashanti , Brong Ahafo , Northern , Upper East , Upper West ,,,,,,,,,,
1,Maize,Area planted (Ha),"49,170.0","78,843.0","3,062.0","52,275.0","150,723.0","122,256.0","213,042.0","91,108.0","43,840.0","60,963.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"72,994.0","175,890.0","3,687.0","98,223.0","407,052.0","201,186.0","405,641.0","179,416.0","62,383.0","115,439.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,
1,Millet,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"40,904.0","40,522.0","55,497.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"6,994,584.0","42,142.9","46,617.4",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,2.0,1.0,1.0,,,,,,,,,,
1,Rice,Area planted (Ha),"25,793.0","1,735.0","3,307.0","46,143.0","9,452.0","13,571.0","4,245.0","82,373.0","43,839.0","5,389.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,"33,221.0","2,805.0","23,070.0","228,354.0","35,736.0","35,247.0","7,187.0","189,469.0","124,282.0","8,308.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,7.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,,,,,,,,,,
1,Sorghum,Area planted (Ha),                       -   ,                         -   ,                    -   ,"3,672.0",                         -   ,                         -   ,500.0,"43,718.0","55,007.0","98,265.0",,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"5,178.0",                         -   ,                         -   ,625.0,"75,559.0","56,508.0","91,735.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,1.0,2.0,1.0,1.0,,,,,,,,,,
1,Cassava,Area planted (Ha),77705.0,121855.0,6452.0,83544.0,199170.0,129725.0,171367.0,89281.0,                   -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,998307.0,2085715.0,106430.0,1454180.0,4891385.0,2872525.0,3924403.0,1465273.0,                   -   ,                   -   ,,,,,,,,,,
