"Table 2.2: Crop production by Region, 2008",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic,Western,Central,Greater Accra,Volta,Eastern,Ashanti,Brong Ahafo,Northern,Upper East,Upper West,,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,1.0,                       -   ,1.0,1.0,1.0,,,,,,,,,,
1,Cowpea,Area planted (Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,53078.0,46907.0,61285.0,,,,,,,,,,
2,,Area harvested (Ha),,,,,,,,,,,,,,,,,,,,
3,,Farm Count,                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,60864.0,48652.0,70164.0,,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                       -   ,                   -   ,                       -   ,                       -   ,                       -   ,                       -   ,1.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 2.3: Crop production by Region, 2009",,,,,,,,,,,,,,,,,,,,,,
No.,Crops,Topic,Western,Central,Greater Accra,Volta,Eastern,Ashanti,Brong Ahafo,Northern,Upper East, Upper West,,,,,,,,,,
1,Maize,Area planted (Ha),"55,140.0","114,540.0","3,610.0","52,690.0","169,000.0","146,040.0","246,270.0","100,641.0","31,040.0","45,600.0",,,,,,,,,,
2,,Area harvested (Ha),"55,140.0","114,540.0","3,610.0","52,690.0","169,000.0","146,040.0","246,270.0","100,641.0","31,040.0","45,600.0",,,,,,,,,,
3,,Farm Count,"79,021.0","231,238.0","3,312.0","97,064.0","303,400.0","186,829.0","446,263.0","167,501.0","51,140.0","70,660.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,, ,,,,,,,,
1,Millet,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"55,973.0","63,920.0","66,800.0",,,,,,,,,,
2,,Area harvested (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"55,973.0","63,920.0","66,800.0",,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,"94,077.0","79,630.0","71,840.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,                         -   ,                         -   ,2.0,1.0,1.0,,,,,,,,,,
1,Rice (Paddy),Area planted (Ha),"15,280.0","4,160.0","2,010.0","20,460.0","7,310.0","9,560.0","3,710.0","72,841.0","39,830.0","4,200.0",,,,,,,,,,
2,,Area harvested (Ha),"15,280.0","4,160.0","2,010.0","20,460.0","7,310.0","9,560.0","3,710.0","72,841.0","39,830.0","4,200.0",,,,,,,,,,
3,,Farm Count,"20,107.0","5,090.0","2,958.0","60,691.0","19,739.0","12,435.0","5,796.0","190,089.0","111,270.0","7,610.0",,,,,,,,,,
4,,Yield (Mt/Ha),1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,,,,,,,,,,
1,Sorghum,Area planted (Ha),                       -   ,                         -   ,                    -   ,"4,350.0",                         -   ,                         -   ,                         -   ,"78,417.0","70,540.0","113,900.0",,,,,,,,,,
2,,Area harvested (Ha),                       -   ,                         -   ,                    -   ,"4,350.0",                         -   ,                         -   ,                         -   ,"78,417.0","70,540.0","113,900.0",,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,"5,055.0",                         -   ,                         -   ,                         -   ,"136,577.0","87,500.0","121,420.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,1.0,                         -   ,                         -   ,                         -   ,2.0,1.0,1.0,,,,,,,,,,
1,Cassava,Area planted (Ha),"73,080.0","128,680.0","6,450.0","104,730.0","183,650.0","117,370.0","179,710.0","92,130.0",             -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),"73,080.0","128,680.0","6,450.0","104,730.0","183,650.0","117,370.0","179,710.0","92,130.0",             -   ,                   -   ,,,,,,,,,,
3,,Farm Count,"668,909.0","2,036,500.0","67,565.0","1,558,531.0","3,062,770.0","1,255,177.0","2,606,913.0","961,265.0",             -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),9.0,209.0,10.0,15.0,17.0,11.0,15.0,10.0,             -   ,                   -   ,,,,,,,,,,
1,Cocoyam,Area planted (Ha),"40,930.0","16,830.0",                    -   ,"6,150.0","42,400.0","68,370.0","49,890.0",                         -   ,             -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),"40,930.0","16,830.0",                    -   ,"6,150.0","42,400.0","68,370.0","49,890.0",                         -   ,             -   ,                   -   ,,,,,,,,,,
3,,Farm Count,"232,852.0","94,158.0",                    -   ,"44,099.0","358,125.0","428,064.0","334,851.0",                         -   ,             -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),6.0,6.0,                    -   ,7.0,8.0,6.0,7.0,                         -   ,             -   ,                   -   ,,,,,,,,,,
1,Plantain,Area planted (Ha),"58,870.0","16,790.0",                    -   ,"7,960.0","83,450.0","91,970.0","65,830.0",                         -   ,             -   ,                   -   ,,,,,,,,,,
2,,Area harvested (Ha),"58,870.0","16,790.0",                    -   ,"7,960.0","83,450.0","91,970.0","65,830.0",                         -   ,             -   ,                   -   ,,,,,,,,,,
3,,Farm Count,"579,033.0","155,929.0",                    -   ,"63,024.0","842,210.0","960,149.0","952,416.0",                         -   ,             -   ,                   -   ,,,,,,,,,,
4,,Yield (Mt/Ha),10.0,9.0,                    -   ,8.0,10.0,10.0,163.0,                         -   ,             -   ,                   -   ,,,,,,,,,,
1,Yam,Area planted (Ha),"12,000.0","2,970.0",                    -   ,"25,210.0","40,550.0","32,440.0","127,670.0","115,918.0",             -   ,"21,980.0",,,,,,,,,,
2,,Area harvested (Ha),"12,000.0","2,970.0",                    -   ,"25,210.0","40,550.0","32,440.0","127,670.0","115,918.0",             -   ,"21,980.0",,,,,,,,,,
3,,Farm Count,"88,347.0","17,296.0",                    -   ,"360,892.0","762,050.0","437,026.0","2,377,022.0","1,337,701.0",             -   ,"385,820.0",,,,,,,,,,
4,,Yield (Mt/Ha),7.0,51.0,                    -   ,14.0,19.0,13.0,19.0,12.0,             -   ,18.0,,,,,,,,,,
1,Soya Bean,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,,                         -   ,"42,559.0","20,320.0","14,370.0",,,,,,,,,,
2,,Area harvested (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,,                         -   ,"42,559.0","20,320.0","14,370.0",,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,,                         -   ,"72,789.0","20,170.0","19,870.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,,                         -   ,2.0,1.0,1.0,,,,,,,,,,
1,Groundnut,Area planted (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,"4,460.0",                         -   ,"126,481.0","80,070.0","125,500.0",,,,,,,,,,
2,,Area harvested (Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,"4,460.0",                         -   ,"126,481.0","80,070.0","125,500.0",,,,,,,,,,
3,,Farm Count,                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,"6,571.0",                         -   ,"213,943.0","63,870.0","200,710.0",,,,,,,,,,
4,,Yield (Mt/Ha),                       -   ,                         -   ,                    -   ,                         -   ,                         -   ,1.0,                         -   ,2.0,1.0,2.0,,,,,,,,,,
